lead_id,contact_id,campaign_id,campaign_name,lead_channel,lead_status,lead_status_previous,lead_score,estimated_value_eur,close_probability,assigned_to,contact_segment,contact_city,contact_country,created_at,status_changed_at,updated_at,_load_ts,_source_system
LED-55705,CON-20646,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Customer,Opportunity,79,823.76,0.99,a.mueller@technow.de,Aktiv,Hamburg,DE,2025-06-19T20:33:00,2025-06-29T16:58:00,2025-06-29T16:58:00,2026-05-01T06:30:00,crm_salesforce
LED-83131,CON-21095,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Customer,Opportunity,77,266.35,0.88,a.mueller@technow.de,Loyal,Münster,DE,2025-06-10T07:00:00,2025-06-26T11:22:00,2025-06-26T11:22:00,2026-05-01T06:30:00,crm_salesforce
LED-81498,CON-20463,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Customer,SQL,81,122.87,0.93,a.mueller@technow.de,Churned,Berlin,DE,2025-06-10T14:50:00,2025-06-10T18:12:00,2025-06-10T18:12:00,2026-05-01T06:30:00,crm_salesforce
LED-93472,CON-20332,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Opportunity,SQL,76,239.9,0.41,a.mueller@technow.de,At Risk,Winterthur,CH,2025-06-03T20:40:00,2025-06-10T15:18:00,2025-06-10T15:18:00,2026-05-01T06:30:00,crm_salesforce
LED-89722,CON-20982,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Customer,SQL,87,709.58,0.89,a.mueller@technow.de,Loyal,Stuttgart,DE,2025-06-21T21:39:00,2025-06-28T15:44:00,2025-06-28T15:44:00,2026-05-01T06:30:00,crm_salesforce
LED-84486,CON-20470,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,SQL,MQL,44,2731.17,0.21,a.mueller@technow.de,Churned,Linz,AT,2025-06-04T16:17:00,2025-06-08T21:46:00,2025-06-08T21:46:00,2026-05-01T06:30:00,crm_salesforce
LED-50514,CON-20424,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,MQL,Prospect,34,308.45,0.11,a.mueller@technow.de,Loyal,Linz,AT,2025-06-26T22:23:00,2025-06-29T08:21:00,2025-06-29T08:21:00,2026-05-01T06:30:00,crm_salesforce
LED-39148,CON-20480,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,MQL,Prospect,54,424.52,0.13,a.mueller@technow.de,Aktiv,Münster,DE,2025-06-09T19:53:00,2025-06-09T10:49:00,2025-06-09T10:49:00,2026-05-01T06:30:00,crm_salesforce
LED-52631,CON-20843,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Opportunity,MQL,66,1068.89,0.48,a.mueller@technow.de,Loyal,Bremen,DE,2025-06-04T13:30:00,2025-06-16T16:59:00,2025-06-16T16:59:00,2026-05-01T06:30:00,crm_salesforce
LED-40789,CON-21318,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Customer,Opportunity,88,312.8,0.89,a.mueller@technow.de,Neukunde,Münster,DE,2025-06-12T08:55:00,2025-06-18T10:15:00,2025-06-18T10:15:00,2026-05-01T06:30:00,crm_salesforce
LED-76906,CON-20612,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Opportunity,SQL,80,1025.91,0.42,a.mueller@technow.de,Neukunde,Linz,AT,2025-06-02T22:44:00,2025-06-21T11:23:00,2025-06-21T11:23:00,2026-05-01T06:30:00,crm_salesforce
LED-31728,CON-20656,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,SQL,Prospect,61,758.74,0.29,a.mueller@technow.de,Loyal,Bremen,DE,2025-06-21T08:03:00,2025-06-26T11:44:00,2025-06-26T11:44:00,2026-05-01T06:30:00,crm_salesforce
LED-22798,CON-20225,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,Customer,SQL,73,545.26,0.95,k.bauer@technow.de,Neukunde,Basel,CH,2025-08-10T16:34:00,2025-08-25T13:36:00,2025-08-25T13:36:00,2026-05-01T06:30:00,crm_salesforce
LED-91253,CON-20871,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,Opportunity,MQL,80,442.7,0.4,k.bauer@technow.de,Neukunde,Linz,AT,2025-07-22T15:34:00,2025-08-14T21:00:00,2025-08-14T21:00:00,2026-05-01T06:30:00,crm_salesforce
LED-86316,CON-20417,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,Opportunity,SQL,73,489.3,0.41,k.bauer@technow.de,Neukunde,Hamburg,DE,2025-06-23T19:12:00,2025-08-29T22:49:00,2025-08-29T22:49:00,2026-05-01T06:30:00,crm_salesforce
LED-40202,CON-20571,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,Customer,SQL,69,185.6,0.96,k.bauer@technow.de,Neukunde,Wien,AT,2025-06-23T08:53:00,2025-07-09T12:55:00,2025-07-09T12:55:00,2026-05-01T06:30:00,crm_salesforce
LED-46486,CON-20995,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,MQL,Prospect,54,1636.87,0.13,k.bauer@technow.de,At Risk,Wien,AT,2025-08-16T15:03:00,2025-08-27T14:38:00,2025-08-27T14:38:00,2026-05-01T06:30:00,crm_salesforce
LED-29289,CON-21159,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,Prospect,Prospect,39,1133.0,0.05,k.bauer@technow.de,VIP,Leipzig,DE,2025-07-31T20:52:00,2025-08-23T08:52:00,2025-08-23T08:52:00,2026-05-01T06:30:00,crm_salesforce
LED-54840,CON-21354,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,Customer,Opportunity,74,1839.39,1.0,k.bauer@technow.de,Aktiv,Wien,AT,2025-06-27T10:46:00,2025-07-26T19:12:00,2025-07-26T19:12:00,2026-05-01T06:30:00,crm_salesforce
LED-88969,CON-20618,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,Customer,Opportunity,73,1575.06,0.97,k.bauer@technow.de,VIP,Linz,AT,2025-08-12T20:56:00,2025-08-15T12:50:00,2025-08-15T12:50:00,2026-05-01T06:30:00,crm_salesforce
LED-92085,CON-20787,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,Opportunity,MQL,76,660.78,0.5,k.bauer@technow.de,Neukunde,Hamburg,DE,2025-08-24T17:54:00,2025-08-29T20:48:00,2025-08-29T20:48:00,2026-05-01T06:30:00,crm_salesforce
LED-76438,CON-21313,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,Customer,SQL,91,215.71,0.96,k.bauer@technow.de,Aktiv,Zürich,CH,2025-07-17T18:28:00,2025-08-14T19:00:00,2025-08-14T19:00:00,2026-05-01T06:30:00,crm_salesforce
LED-24543,CON-20347,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,Churned,Customer,97,138.2,0.02,k.bauer@technow.de,Aktiv,Bremen,DE,2025-07-12T17:01:00,2025-08-30T15:58:00,2025-08-30T15:58:00,2026-05-01T06:30:00,crm_salesforce
LED-83246,CON-20995,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,SQL,MQL,57,3740.95,0.26,j.fischer@technow.de,At Risk,Wien,AT,2025-07-26T08:58:00,2025-08-16T18:56:00,2025-08-16T18:56:00,2026-05-01T06:30:00,crm_salesforce
LED-74594,CON-21026,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Churned,Customer,98,3388.01,0.02,j.fischer@technow.de,Churned,Salzburg,AT,2025-07-24T16:33:00,2025-07-26T17:34:00,2025-07-26T17:34:00,2026-05-01T06:30:00,crm_salesforce
LED-39605,CON-21390,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Opportunity,SQL,68,3532.78,0.52,j.fischer@technow.de,At Risk,Köln,DE,2025-08-18T09:14:00,2025-08-31T16:50:00,2025-08-31T16:50:00,2026-05-01T06:30:00,crm_salesforce
LED-39400,CON-20276,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,MQL,Prospect,49,3075.74,0.11,j.fischer@technow.de,Aktiv,Wien,AT,2025-08-15T20:49:00,2025-08-19T11:30:00,2025-08-19T11:30:00,2026-05-01T06:30:00,crm_salesforce
LED-45966,CON-20171,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Opportunity,SQL,67,1638.18,0.49,j.fischer@technow.de,Loyal,Graz,AT,2025-08-10T09:07:00,2025-08-31T20:27:00,2025-08-31T20:27:00,2026-05-01T06:30:00,crm_salesforce
LED-65653,CON-20064,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,SQL,Prospect,65,916.35,0.24,j.fischer@technow.de,Neukunde,Leipzig,DE,2025-08-18T11:28:00,2025-08-19T14:12:00,2025-08-19T14:12:00,2026-05-01T06:30:00,crm_salesforce
LED-68997,CON-20824,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,SQL,MQL,58,1964.45,0.26,j.fischer@technow.de,Neukunde,Graz,AT,2025-07-30T16:00:00,2025-08-20T10:19:00,2025-08-20T10:19:00,2026-05-01T06:30:00,crm_salesforce
LED-81759,CON-20640,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Prospect,Prospect,42,3752.04,0.05,j.fischer@technow.de,VIP,Stuttgart,DE,2025-08-25T22:39:00,2025-09-05T11:44:00,2025-09-05T11:44:00,2026-05-01T06:30:00,crm_salesforce
LED-22410,CON-21376,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Opportunity,SQL,68,797.74,0.41,j.fischer@technow.de,Aktiv,Frankfurt,DE,2025-09-03T15:03:00,2025-09-04T07:04:00,2025-09-04T07:04:00,2026-05-01T06:30:00,crm_salesforce
LED-55561,CON-20247,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Customer,SQL,78,2144.56,1.0,j.fischer@technow.de,VIP,Graz,AT,2025-08-14T14:24:00,2025-08-30T10:57:00,2025-08-30T10:57:00,2026-05-01T06:30:00,crm_salesforce
LED-83525,CON-20470,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Customer,Opportunity,83,3548.25,0.94,j.fischer@technow.de,Churned,Linz,AT,2025-09-04T07:02:00,2025-09-04T16:21:00,2025-09-04T16:21:00,2026-05-01T06:30:00,crm_salesforce
LED-71563,CON-20656,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Customer,Opportunity,80,2197.64,0.89,j.fischer@technow.de,Loyal,Bremen,DE,2025-08-22T15:51:00,2025-08-22T15:56:00,2025-08-22T15:56:00,2026-05-01T06:30:00,crm_salesforce
LED-23862,CON-21047,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Churned,Opportunity,87,1428.22,0.02,j.fischer@technow.de,At Risk,Bern,CH,2025-07-29T09:46:00,2025-08-22T14:26:00,2025-08-22T14:26:00,2026-05-01T06:30:00,crm_salesforce
LED-95090,CON-20445,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,SQL,Prospect,66,1310.87,0.23,j.fischer@technow.de,At Risk,Hamburg,DE,2025-07-29T13:55:00,2025-08-06T16:44:00,2025-08-06T16:44:00,2026-05-01T06:30:00,crm_salesforce
LED-88656,CON-20417,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Customer,SQL,68,1373.85,0.97,j.fischer@technow.de,Neukunde,Hamburg,DE,2025-09-05T10:11:00,2025-09-06T11:46:00,2025-09-06T11:46:00,2026-05-01T06:30:00,crm_salesforce
LED-61771,CON-20460,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Customer,SQL,72,1455.17,1.0,j.fischer@technow.de,Loyal,München,DE,2025-08-30T15:09:00,2025-09-05T13:06:00,2025-09-05T13:06:00,2026-05-01T06:30:00,crm_salesforce
LED-44215,CON-20535,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Prospect,Prospect,40,2347.29,0.04,j.fischer@technow.de,Neukunde,München,DE,2025-07-26T22:08:00,2025-08-27T22:45:00,2025-08-27T22:45:00,2026-05-01T06:30:00,crm_salesforce
LED-69015,CON-20162,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,SQL,Prospect,51,678.17,0.23,j.fischer@technow.de,Churned,Münster,DE,2025-07-23T20:48:00,2025-07-23T15:26:00,2025-07-23T15:26:00,2026-05-01T06:30:00,crm_salesforce
LED-46585,CON-21384,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Customer,Opportunity,92,1818.78,0.95,j.fischer@technow.de,Aktiv,Salzburg,AT,2025-08-10T21:56:00,2025-08-17T20:25:00,2025-08-17T20:25:00,2026-05-01T06:30:00,crm_salesforce
LED-25482,CON-20716,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Customer,SQL,69,2522.14,1.0,j.fischer@technow.de,Loyal,Bern,CH,2025-08-28T08:33:00,2025-08-29T21:29:00,2025-08-29T21:29:00,2026-05-01T06:30:00,crm_salesforce
LED-52207,CON-21016,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Customer,SQL,77,2257.15,0.99,j.fischer@technow.de,Aktiv,Linz,AT,2025-07-24T13:18:00,2025-08-21T19:56:00,2025-08-21T19:56:00,2026-05-01T06:30:00,crm_salesforce
LED-57475,CON-20390,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Opportunity,MQL,80,3592.22,0.5,j.fischer@technow.de,Aktiv,Innsbruck,AT,2025-08-19T21:05:00,2025-09-04T10:11:00,2025-09-04T10:11:00,2026-05-01T06:30:00,crm_salesforce
LED-96735,CON-20137,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Churned,Customer,90,1721.87,0.02,j.fischer@technow.de,Loyal,Hannover,DE,2025-08-19T13:56:00,2025-09-02T09:16:00,2025-09-02T09:16:00,2026-05-01T06:30:00,crm_salesforce
LED-41495,CON-20584,CMP-3003,Back-to-School – Laptops & Tablets,Google Ads,Customer,Opportunity,85,2379.29,0.99,j.fischer@technow.de,Aktiv,Frankfurt,DE,2025-07-26T19:46:00,2025-08-27T12:24:00,2025-08-27T12:24:00,2026-05-01T06:30:00,crm_salesforce
LED-35408,CON-20078,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Customer,Opportunity,74,665.54,0.95,a.mueller@technow.de,At Risk,Bremen,DE,2025-10-02T07:38:00,2025-10-30T22:15:00,2025-10-30T22:15:00,2026-05-01T06:30:00,crm_salesforce
LED-97183,CON-21376,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Customer,SQL,73,1145.25,0.98,a.mueller@technow.de,Aktiv,Frankfurt,DE,2025-09-16T15:39:00,2025-10-26T13:03:00,2025-10-26T13:03:00,2026-05-01T06:30:00,crm_salesforce
LED-39432,CON-20304,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,MQL,Prospect,45,2884.86,0.13,a.mueller@technow.de,Aktiv,Basel,CH,2025-10-24T16:21:00,2025-10-25T08:06:00,2025-10-25T08:06:00,2026-05-01T06:30:00,crm_salesforce
LED-43363,CON-20597,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,SQL,Prospect,56,3187.4,0.24,a.mueller@technow.de,Neukunde,Nürnberg,DE,2025-09-03T09:49:00,2025-09-22T17:23:00,2025-09-22T17:23:00,2026-05-01T06:30:00,crm_salesforce
LED-28869,CON-21010,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Customer,Opportunity,74,1313.34,1.0,a.mueller@technow.de,Aktiv,Nürnberg,DE,2025-09-18T17:33:00,2025-10-14T13:44:00,2025-10-14T13:44:00,2026-05-01T06:30:00,crm_salesforce
LED-27626,CON-21178,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,MQL,Prospect,55,1560.48,0.13,a.mueller@technow.de,Neukunde,Innsbruck,AT,2025-09-17T18:59:00,2025-09-25T22:33:00,2025-09-25T22:33:00,2026-05-01T06:30:00,crm_salesforce
LED-85239,CON-20269,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Opportunity,SQL,62,2751.75,0.38,a.mueller@technow.de,Churned,Bremen,DE,2025-09-02T21:40:00,2025-10-22T10:47:00,2025-10-22T10:47:00,2026-05-01T06:30:00,crm_salesforce
LED-74346,CON-20290,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Opportunity,MQL,72,1186.79,0.41,a.mueller@technow.de,Aktiv,Salzburg,AT,2025-09-19T15:50:00,2025-09-23T16:19:00,2025-09-23T16:19:00,2026-05-01T06:30:00,crm_salesforce
LED-92088,CON-20261,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Opportunity,SQL,66,635.3,0.48,a.mueller@technow.de,At Risk,Leipzig,DE,2025-10-10T07:53:00,2025-10-15T13:21:00,2025-10-15T13:21:00,2026-05-01T06:30:00,crm_salesforce
LED-82797,CON-20318,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Customer,Opportunity,84,1376.86,0.94,a.mueller@technow.de,At Risk,Hannover,DE,2025-10-26T17:29:00,2025-10-29T08:53:00,2025-10-29T08:53:00,2026-05-01T06:30:00,crm_salesforce
LED-59235,CON-21275,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Customer,SQL,68,3370.97,0.9,a.mueller@technow.de,Aktiv,Köln,DE,2025-10-29T18:04:00,2025-10-29T15:53:00,2025-10-29T15:53:00,2026-05-01T06:30:00,crm_salesforce
LED-64453,CON-20096,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Churned,Customer,93,2236.12,0.02,a.mueller@technow.de,VIP,Düsseldorf,DE,2025-10-19T16:45:00,2025-10-24T08:17:00,2025-10-24T08:17:00,2026-05-01T06:30:00,crm_salesforce
LED-31376,CON-20754,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Opportunity,SQL,57,3431.64,0.42,a.mueller@technow.de,Churned,Stuttgart,DE,2025-10-04T16:11:00,2025-10-07T18:50:00,2025-10-07T18:50:00,2026-05-01T06:30:00,crm_salesforce
LED-46489,CON-20551,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Customer,SQL,78,3661.78,0.85,a.mueller@technow.de,Aktiv,Berlin,DE,2025-09-22T22:46:00,2025-10-25T16:49:00,2025-10-25T16:49:00,2026-05-01T06:30:00,crm_salesforce
LED-38781,CON-20555,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Customer,Opportunity,87,3938.81,0.94,a.mueller@technow.de,Churned,Bonn,DE,2025-10-16T10:00:00,2025-10-25T08:43:00,2025-10-25T08:43:00,2026-05-01T06:30:00,crm_salesforce
LED-31413,CON-21305,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Opportunity,SQL,64,687.7,0.48,a.mueller@technow.de,Aktiv,Zürich,CH,2025-10-11T13:20:00,2025-10-17T13:18:00,2025-10-17T13:18:00,2026-05-01T06:30:00,crm_salesforce
LED-89766,CON-20801,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,Opportunity,MQL,66,961.33,0.42,a.mueller@technow.de,Loyal,Hamburg,DE,2025-09-01T10:13:00,2025-10-05T18:35:00,2025-10-05T18:35:00,2026-05-01T06:30:00,crm_salesforce
LED-55527,CON-20515,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,MQL,Prospect,53,921.9,0.12,a.mueller@technow.de,VIP,Nürnberg,DE,2025-09-22T21:03:00,2025-09-30T07:30:00,2025-09-30T07:30:00,2026-05-01T06:30:00,crm_salesforce
LED-26613,CON-21121,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,MQL,Prospect,38,1614.75,0.13,a.mueller@technow.de,Neukunde,Wien,AT,2025-10-28T21:39:00,2025-10-30T16:21:00,2025-10-30T16:21:00,2026-05-01T06:30:00,crm_salesforce
LED-89924,CON-20324,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,MQL,Prospect,39,3979.95,0.14,a.mueller@technow.de,At Risk,München,DE,2025-09-30T10:29:00,2025-10-19T21:30:00,2025-10-19T21:30:00,2026-05-01T06:30:00,crm_salesforce
LED-34796,CON-20255,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Opportunity,MQL,73,2094.74,0.46,k.bauer@technow.de,Aktiv,Frankfurt,DE,2025-09-23T10:25:00,2025-11-14T10:20:00,2025-11-14T10:20:00,2026-05-01T06:30:00,crm_salesforce
LED-29296,CON-21103,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Customer,SQL,90,504.01,0.88,k.bauer@technow.de,At Risk,Dresden,DE,2025-09-25T22:24:00,2025-09-29T17:13:00,2025-09-29T17:13:00,2026-05-01T06:30:00,crm_salesforce
LED-97459,CON-20463,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Opportunity,MQL,73,252.2,0.47,k.bauer@technow.de,Churned,Berlin,DE,2025-11-01T22:07:00,2025-11-10T21:20:00,2025-11-10T21:20:00,2026-05-01T06:30:00,crm_salesforce
LED-32799,CON-20656,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Customer,Opportunity,74,344.79,0.84,k.bauer@technow.de,Loyal,Bremen,DE,2025-11-06T19:20:00,2025-11-13T08:05:00,2025-11-13T08:05:00,2026-05-01T06:30:00,crm_salesforce
LED-38208,CON-20702,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Customer,Opportunity,86,1677.09,0.89,k.bauer@technow.de,Loyal,Münster,DE,2025-10-24T21:12:00,2025-10-30T17:19:00,2025-10-30T17:19:00,2026-05-01T06:30:00,crm_salesforce
LED-59917,CON-20324,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Customer,SQL,79,638.43,0.98,k.bauer@technow.de,At Risk,München,DE,2025-10-17T19:54:00,2025-10-21T16:03:00,2025-10-21T16:03:00,2026-05-01T06:30:00,crm_salesforce
LED-91943,CON-21257,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Churned,Customer,90,840.72,0.02,k.bauer@technow.de,Neukunde,Düsseldorf,DE,2025-09-30T20:44:00,2025-11-06T19:40:00,2025-11-06T19:40:00,2026-05-01T06:30:00,crm_salesforce
LED-70173,CON-21194,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Opportunity,MQL,77,1726.1,0.41,k.bauer@technow.de,Neukunde,Berlin,DE,2025-10-09T18:53:00,2025-11-04T11:18:00,2025-11-04T11:18:00,2026-05-01T06:30:00,crm_salesforce
LED-36455,CON-20592,CMP-3005,Business Herbst – IT & Office Upgrade,Email,MQL,Prospect,46,2277.77,0.12,k.bauer@technow.de,Loyal,Hannover,DE,2025-10-12T11:05:00,2025-10-20T20:55:00,2025-10-20T20:55:00,2026-05-01T06:30:00,crm_salesforce
LED-99223,CON-20584,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Churned,Customer,95,799.4,0.02,k.bauer@technow.de,Aktiv,Frankfurt,DE,2025-10-07T14:11:00,2025-11-03T07:36:00,2025-11-03T07:36:00,2026-05-01T06:30:00,crm_salesforce
LED-51031,CON-20813,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Customer,SQL,70,399.77,0.82,k.bauer@technow.de,At Risk,München,DE,2025-10-15T18:07:00,2025-11-02T22:44:00,2025-11-02T22:44:00,2026-05-01T06:30:00,crm_salesforce
LED-38623,CON-20871,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Customer,SQL,88,595.31,0.98,k.bauer@technow.de,Neukunde,Linz,AT,2025-09-30T22:40:00,2025-11-11T09:43:00,2025-11-11T09:43:00,2026-05-01T06:30:00,crm_salesforce
LED-90673,CON-20051,CMP-3005,Business Herbst – IT & Office Upgrade,Email,Customer,SQL,93,2803.49,0.81,k.bauer@technow.de,Aktiv,Köln,DE,2025-10-14T22:36:00,2025-11-04T20:22:00,2025-11-04T20:22:00,2026-05-01T06:30:00,crm_salesforce
LED-58616,CON-20115,CMP-3005,Business Herbst – IT & Office Upgrade,Email,SQL,MQL,59,172.88,0.25,k.bauer@technow.de,Churned,Mannheim,DE,2025-09-25T08:42:00,2025-10-13T07:18:00,2025-10-13T07:18:00,2026-05-01T06:30:00,crm_salesforce
LED-30814,CON-20851,CMP-3005,Business Herbst – IT & Office Upgrade,Email,MQL,Prospect,37,207.26,0.11,k.bauer@technow.de,Aktiv,Stuttgart,DE,2025-11-08T15:00:00,2025-11-13T10:38:00,2025-11-13T10:38:00,2026-05-01T06:30:00,crm_salesforce
LED-47637,CON-21328,CMP-3006,Business Loyalty – Premium Club,Email,Customer,SQL,91,2070.22,0.84,j.fischer@technow.de,Aktiv,Graz,AT,2025-10-11T21:25:00,2025-11-10T16:30:00,2025-11-10T16:30:00,2026-05-01T06:30:00,crm_salesforce
