report_date;adgroup_id;google_campaign_id;campaign_id_crm_ref;adgroup_name;keyword_match_type;bid_strategy;target_cpa_eur;device_type;impressions;clicks;ctr_pct;avg_cpc_eur;conversions;conv_rate_pct;spend_eur;revenue_eur;roas;quality_score;impression_share_pct;_load_ts;_source_system
06.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;7854;158;201;61;8;502;9638;146429;1519;7;63;31.12.2024 06:30;google_ads_api
06.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;5886;134;227;52;7;489;6968;95789;1375;7;83;31.12.2024 06:30;google_ads_api
06.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1453;24;166;63;1;552;1512;6773;448;6;44;31.12.2024 06:30;google_ads_api
07.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;6696;145;216;62;8;522;899;51115;569;7;6;31.12.2024 06:30;google_ads_api
07.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;7345;178;243;59;10;548;10502;56607;539;7;75;31.12.2024 06:30;google_ads_api
07.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1623;29;18;65;1;446;1885;7062;375;7;62;31.12.2024 06:30;google_ads_api
08.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;6547;153;233;59;8;534;9027;100066;1109;7;5;31.12.2024 06:30;google_ads_api
08.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;6414;169;263;57;8;451;9633;112205;1165;8;49;31.12.2024 06:30;google_ads_api
08.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1474;27;18;63;1;52;1701;5508;324;7;57;31.12.2024 06:30;google_ads_api
09.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;5852;136;232;67;7;535;9112;68636;753;7;45;31.12.2024 06:30;google_ads_api
09.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;6412;171;267;55;7;42;9405;45283;481;8;77;31.12.2024 06:30;google_ads_api
09.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1486;24;163;63;1;476;1512;9211;609;6;82;31.12.2024 06:30;google_ads_api
10.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;6495;127;195;66;6;486;8382;49897;595;7;56;31.12.2024 06:30;google_ads_api
10.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;6537;163;25;55;8;471;8965;57552;642;8;52;31.12.2024 06:30;google_ads_api
10.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1323;24;182;59;1;441;1416;6494;459;7;71;31.12.2024 06:30;google_ads_api
11.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;6021;138;23;57;7;532;7866;61824;786;7;73;31.12.2024 06:30;google_ads_api
11.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;5247;115;22;56;6;543;644;72704;1129;7;78;31.12.2024 06:30;google_ads_api
11.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1455;24;165;62;1;422;1488;1143;768;6;63;31.12.2024 06:30;google_ads_api
12.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;6593;144;219;57;8;55;8208;89094;1085;7;58;31.12.2024 06:30;google_ads_api
12.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;5955;135;227;54;6;435;729;68438;939;7;55;31.12.2024 06:30;google_ads_api
12.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1214;24;197;68;1;472;1632;13205;809;7;44;31.12.2024 06:30;google_ads_api
13.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;7654;174;227;68;10;548;11832;173817;1469;7;5;31.12.2024 06:30;google_ads_api
13.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;5913;133;225;5;6;466;665;64834;975;7;87;31.12.2024 06:30;google_ads_api
13.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1328;25;191;62;1;474;155;18902;1219;7;88;31.12.2024 06:30;google_ads_api
14.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;6421;142;221;6;6;43;852;114372;1342;7;69;31.12.2024 06:30;google_ads_api
14.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;5599;143;256;56;6;416;8008;75239;94;8;81;31.12.2024 06:30;google_ads_api
14.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1203;24;198;58;1;42;1392;1383;994;7;73;31.12.2024 06:30;google_ads_api
15.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;4721;90;191;59;5;536;531;69116;1302;7;7;31.12.2024 06:30;google_ads_api
15.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;4341;107;246;6;5;483;642;41798;651;8;75;31.12.2024 06:30;google_ads_api
15.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;985;17;174;6;1;505;102;9926;973;6;77;31.12.2024 06:30;google_ads_api
02.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;3106;55;178;83;2;448;4565;13051;286;7;52;31.12.2024 06:30;google_ads_api
02.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;2870;66;229;71;3;435;4686;3202;683;8;49;31.12.2024 06:30;google_ads_api
02.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;790;13;16;83;1;403;1079;14656;1358;7;42;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;4154;71;171;82;3;409;5822;2214;38;7;47;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;3020;63;21;67;2;363;4221;31093;737;8;51;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;828;12;144;81;0;389;972;0;0;6;46;31.12.2024 06:30;google_ads_api
04.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;4090;70;17;79;2;332;553;28839;522;7;54;31.12.2024 06:30;google_ads_api
04.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;3877;81;21;59;3;382;4779;1966;411;8;83;31.12.2024 06:30;google_ads_api
04.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;960;15;155;76;1;429;114;7573;664;7;48;31.12.2024 06:30;google_ads_api
05.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;4249;84;197;81;4;425;6804;7234;1063;7;52;31.12.2024 06:30;google_ads_api
05.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;3659;68;187;71;3;423;4828;33568;695;7;71;31.12.2024 06:30;google_ads_api
05.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;848;14;169;82;1;433;1148;16851;1468;7;83;31.12.2024 06:30;google_ads_api
06.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;4763;90;19;82;3;37;738;50194;68;7;82;31.12.2024 06:30;google_ads_api
06.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;5128;100;195;6;4;424;600;70841;1181;7;81;31.12.2024 06:30;google_ads_api
06.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;1050;17;165;72;1;385;1224;16635;1359;7;52;31.12.2024 06:30;google_ads_api
07.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;4950;83;167;81;3;37;6723;57109;849;7;55;31.12.2024 06:30;google_ads_api
07.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;5116;103;202;66;5;446;6798;93247;1372;7;47;31.12.2024 06:30;google_ads_api
07.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;1318;19;141;71;1;444;1349;7018;52;6;62;31.12.2024 06:30;google_ads_api
08.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;5317;91;172;75;4;402;6825;43571;638;7;69;31.12.2024 06:30;google_ads_api
08.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;4117;89;217;72;3;332;6408;39115;61;8;75;31.12.2024 06:30;google_ads_api
08.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;1111;18;159;68;1;374;1224;14799;1209;7;57;31.12.2024 06:30;google_ads_api
09.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;4819;94;195;71;4;416;6674;3932;589;7;61;31.12.2024 06:30;google_ads_api
09.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;4317;85;197;65;3;346;5525;55995;1013;7;73;31.12.2024 06:30;google_ads_api
09.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;1164;18;157;76;1;367;1368;5506;402;7;55;31.12.2024 06:30;google_ads_api
10.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;4931;90;183;74;4;408;666;46761;702;7;52;31.12.2024 06:30;google_ads_api
10.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;4364;99;227;61;4;425;6039;26749;443;8;66;31.12.2024 06:30;google_ads_api
10.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;1082;16;147;79;1;427;1264;14919;118;6;52;31.12.2024 06:30;google_ads_api
11.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;4526;72;159;74;3;36;5328;52189;98;7;45;31.12.2024 06:30;google_ads_api
11.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;4198;89;213;69;3;354;6141;37264;607;8;53;31.12.2024 06:30;google_ads_api
11.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;1063;14;135;79;1;419;1106;6992;632;6;62;31.12.2024 06:30;google_ads_api
12.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;4325;86;20;67;3;392;5762;26966;468;7;81;31.12.2024 06:30;google_ads_api
12.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;4083;91;222;73;4;41;6643;55345;833;8;86;31.12.2024 06:30;google_ads_api
12.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;1082;17;157;75;1;416;1275;17128;1343;7;67;31.12.2024 06:30;google_ads_api
13.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;5666;108;191;71;4;387;7668;35845;467;7;71;31.12.2024 06:30;google_ads_api
13.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;4806;100;208;63;4;405;630;26339;418;7;55;31.12.2024 06:30;google_ads_api
13.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;1008;15;146;69;1;395;1035;8738;844;6;74;31.12.2024 06:30;google_ads_api
14.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;5053;81;161;75;3;379;6075;33963;559;7;52;31.12.2024 06:30;google_ads_api
14.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;4112;93;227;69;4;40;6417;69977;109;8;77;31.12.2024 06:30;google_ads_api
14.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;969;13;135;79;0;373;1027;0;0;6;86;31.12.2024 06:30;google_ads_api
15.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;desktop;3760;72;191;76;3;395;5472;25763;471;7;52;31.12.2024 06:30;google_ads_api
15.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;mobile;3305;61;184;68;2;371;4148;22321;538;7;5;31.12.2024 06:30;google_ads_api
15.01.2024;AGA-10012;GGL-204481;CMP-2001;Laptops & Computer;EXACT;TARGET_CPA;220;tablet;793;11;139;67;0;404;737;0;0;6;68;31.12.2024 06:30;google_ads_api
02.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;2470;61;248;51;3;454;3111;18612;598;7;59;31.12.2024 06:30;google_ads_api
02.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;2278;60;265;44;3;55;264;48084;1821;7;8;31.12.2024 06:30;google_ads_api
02.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;548;10;184;52;0;436;52;0;0;6;58;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;3213;82;256;54;4;533;4428;75178;1698;7;51;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;2373;60;253;47;3;453;282;40187;1425;7;52;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;678;15;217;53;1;459;795;15971;2009;7;47;31.12.2024 06:30;google_ads_api
04.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;3637;97;267;46;4;45;4462;3947;885;7;73;31.12.2024 06:30;google_ads_api
04.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;3288;88;269;41;5;543;3608;75843;2102;7;71;31.12.2024 06:30;google_ads_api
04.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;628;14;217;53;1;564;742;7195;97;7;87;31.12.2024 06:30;google_ads_api
05.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;3863;89;231;5;4;499;445;50334;1131;7;58;31.12.2024 06:30;google_ads_api
05.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;3434;102;297;5;5;45;510;71991;1412;8;8;31.12.2024 06:30;google_ads_api
05.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;790;16;201;57;1;546;912;9281;1018;7;79;31.12.2024 06:30;google_ads_api
06.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;4414;105;239;54;5;50;567;46288;816;7;81;31.12.2024 06:30;google_ads_api
06.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;4151;103;249;43;6;568;4429;72036;1626;7;7;31.12.2024 06:30;google_ads_api
06.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;882;16;181;48;1;564;768;847;1103;6;79;31.12.2024 06:30;google_ads_api
07.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;4358;114;262;49;6;541;5586;33853;606;7;86;31.12.2024 06:30;google_ads_api
07.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;3552;103;291;48;5;508;4944;75843;1534;8;72;31.12.2024 06:30;google_ads_api
07.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;945;21;218;48;1;448;1008;15185;1506;7;56;31.12.2024 06:30;google_ads_api
08.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;4130;98;238;51;5;515;4998;79715;1595;7;57;31.12.2024 06:30;google_ads_api
08.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;3725;97;261;42;5;472;4074;40981;1006;7;47;31.12.2024 06:30;google_ads_api
08.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;851;18;217;48;1;462;864;12279;1421;7;75;31.12.2024 06:30;google_ads_api
09.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;4577;110;241;47;5;477;517;41088;795;7;52;31.12.2024 06:30;google_ads_api
09.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;3273;80;244;43;4;515;344;76561;2226;7;67;31.12.2024 06:30;google_ads_api
09.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;893;17;186;51;1;566;867;17718;2044;6;68;31.12.2024 06:30;google_ads_api
10.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;4014;95;237;46;4;462;437;7470;1709;7;64;31.12.2024 06:30;google_ads_api
10.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;3833;103;269;47;5;445;4841;31253;646;7;49;31.12.2024 06:30;google_ads_api
10.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;856;17;194;47;1;586;799;16202;2028;6;7;31.12.2024 06:30;google_ads_api
11.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;4248;95;224;51;5;513;4845;5849;1207;7;82;31.12.2024 06:30;google_ads_api
11.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;3894;102;263;46;5;529;4692;79306;169;7;86;31.12.2024 06:30;google_ads_api
11.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;761;14;19;48;1;535;672;7933;1181;6;45;31.12.2024 06:30;google_ads_api
12.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;3314;79;237;49;4;524;3871;34963;903;7;75;31.12.2024 06:30;google_ads_api
12.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;3500;96;273;5;5;539;480;82648;1722;7;71;31.12.2024 06:30;google_ads_api
12.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;825;19;225;52;1;499;988;14567;1474;7;84;31.12.2024 06:30;google_ads_api
13.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;4489;97;215;49;4;459;4753;63942;1345;7;68;31.12.2024 06:30;google_ads_api
13.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;3426;86;251;47;5;539;4042;93487;2313;7;65;31.12.2024 06:30;google_ads_api
13.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;861;16;183;51;1;44;816;10013;1227;6;54;31.12.2024 06:30;google_ads_api
14.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;3458;92;267;52;5;561;4784;94055;1966;7;88;31.12.2024 06:30;google_ads_api
14.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;3532;92;261;48;4;44;4416;48348;1095;7;72;31.12.2024 06:30;google_ads_api
14.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;891;17;188;53;1;523;901;12384;1374;6;46;31.12.2024 06:30;google_ads_api
15.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;desktop;2972;68;23;56;4;536;3808;40469;1063;7;74;31.12.2024 06:30;google_ads_api
15.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;mobile;2559;78;305;46;4;558;3588;4747;1323;8;56;31.12.2024 06:30;google_ads_api
15.01.2024;AGA-10013;GGL-204481;CMP-2001;Kopfhörer & Audio;PHRASE;TARGET_ROAS;;tablet;615;14;227;52;1;495;728;19334;2656;7;72;31.12.2024 06:30;google_ads_api
02.01.2024;AGA-10014;GGL-204481;CMP-2001;Smart Home & Zubehör;BROAD;TARGET_CPA;140;desktop;2058;32;157;43;1;29;1376;1609;1169;7;71;31.12.2024 06:30;google_ads_api
02.01.2024;AGA-10014;GGL-204481;CMP-2001;Smart Home & Zubehör;BROAD;TARGET_CPA;140;mobile;1901;33;171;43;1;325;1419;11634;82;7;74;31.12.2024 06:30;google_ads_api
02.01.2024;AGA-10014;GGL-204481;CMP-2001;Smart Home & Zubehör;BROAD;TARGET_CPA;140;tablet;383;6;151;42;0;33;252;0;0;7;67;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10014;GGL-204481;CMP-2001;Smart Home & Zubehör;BROAD;TARGET_CPA;140;desktop;2270;33;144;48;1;367;1584;1196;755;7;47;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10014;GGL-204481;CMP-2001;Smart Home & Zubehör;BROAD;TARGET_CPA;140;mobile;2128;39;184;39;1;341;1521;9328;613;7;8;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10014;GGL-204481;CMP-2001;Smart Home & Zubehör;BROAD;TARGET_CPA;140;tablet;524;7;128;43;0;325;301;0;0;6;65;31.12.2024 06:30;google_ads_api
04.01.2024;AGA-10014;GGL-204481;CMP-2001;Smart Home & Zubehör;BROAD;TARGET_CPA;140;desktop;2671;46;174;47;1;299;2162;11309;523;7;85;31.12.2024 06:30;google_ads_api
04.01.2024;AGA-10014;GGL-204481;CMP-2001;Smart Home & Zubehör;BROAD;TARGET_CPA;140;mobile;2134;42;198;37;1;299;1554;13717;883;8;88;31.12.2024 06:30;google_ads_api
